rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,link,furnishing,availability_date,smoking,cats,dogs
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2695,3 Beds,2.5,1496,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2295,2 Beds,2.5,1180,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2095,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,November 18,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2095,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,November 18,Non-Smoking,True,True
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495,2 Beds,2.5,1351,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,2390,Studio,1,361 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,3615,1 Bed,1,525 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,4520,2 Beds,1,810 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,1930,Studio,1,265 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True
565052,Airdrie,Alberta,70 Elk Hill Southeast,51.2852509,-114.0101276,Long Term,Main Floor,1700,2 Beds,1,997,/ab/airdrie/rentals/main-floor/2-bedrooms/non-smoking/565052,Unfurnished,Immediate,Non-Smoking,False,False
569191,Airdrie,Alberta,72 Silver Springs Way Northwest,51.3045767,-114.0216833,Long Term,House,2550,3 Beds,2.5,,/ab/airdrie/rentals/house/3-bedrooms/pet-friendly/569191,Unfurnished,Immediate,Non-Smoking,False,True
571402,Airdrie,Alberta,130 Sandstone Crescent Southeast,51.276103,-114.0038583,Long Term,House,3150,5 Beds,2,,/ab/airdrie/rentals/house/5-bedrooms/pet-friendly/571402,Unfurnished,Immediate,Non-Smoking,True,False
572441,Airdrie,Alberta,712 Midtown Drive Southwest,51.2807159,-114.0244446,Long Term,House,3195,3 Beds,2.5,,/ab/airdrie/rentals/house/3-bedrooms/non-smoking/572441,Unfurnished,Immediate,Non-Smoking,False,False
568480,Airdrie,Alberta,Cobblefield Mnr SW,51.2631292,-114.0411654,Long Term,Basement,1500,2 Beds,1,900,/ab/airdrie/rentals/basement/2-bedrooms/non-smoking/568480,Unfurnished,Immediate,Non-Smoking,False,False
571970,Airdrie,Alberta,629 Hillcrest Road Southwest,51.2519353,-114.0137782,Long Term,Townhouse,2300,3 Beds,2.5,1600,/ab/airdrie/rentals/townhouse/3-bedrooms/pet-friendly/571970,Unfurnished,Immediate,Non-Smoking,True,True
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2000,1 Bed,1,602,/ab/airdrie/rentals/apartment/1-bedroom/non-smoking/111264,Unfurnished,Immediate,Smoke Free Building,False,False
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2225,2 Beds,2,886,/ab/airdrie/rentals/apartment/1-bedroom/non-smoking/111264,Unfurnished,Immediate,Smoke Free Building,False,False
565874,Airdrie,Alberta,140 Sagewood Boulevard Southwest,51.291531,-114.0420409,Short Term,Townhouse,2300,3 Beds,1.5,1086,/ab/airdrie/rentals/townhouse/3-bedrooms/pet-friendly/565874,Unfurnished,Immediate,Non-Smoking,True,True
518913,Airdrie,Alberta,502 Windbury Place,51.2496714,-114.0309421,12 months,Townhouse,2099,2 Beds,2.5,1265,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/518913,Unfurnished,Immediate,Non-Smoking,True,True
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1680,1 Bed,1,667,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,Immediate,Non-Smoking,True,True
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1685,1 Bed,1,669,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,Immediate,Non-Smoking,True,True
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1645,1 Bed,1,680,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True
